category_raw,category_normalized,category_es,category_group,notes
Homicidio doloso,Homicide,Homicidio Doloso,Violent Crime,Intentional killings only. Culposo (negligent) homicide tracked separately.
Feminicidio,Femicide,Feminicidio,Violent Crime,Gender-motivated killings classified under separate SESNSP category since 2019.
Violación simple,Rape,Violación,Sexual Crime,High underreporting estimated. Figures represent reported cases only.
Abuso sexual,Sexual Abuse,Abuso Sexual,Sexual Crime,Non-penetrative sexual offenses. Includes acoso sexual where separately categorized.
Violencia familiar,Domestic Violence,Violencia Familiar,Domestic & Social,Most common reported offense category in PV. Includes physical and psychological violence.
Amenazas,Threats,Amenazas,Domestic & Social,Criminal threats. Includes digital/phone threats when formally reported.
Lesiones dolosas,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Intentional bodily harm. Excludes traffic injuries (classified as culposas).
Extorsión,Extortion,Extorsión,Violent Crime,Includes telephone extortion (cobro de piso) and in-person. Underreported due to fear.
Secuestro,Kidnapping,Secuestro,Violent Crime,Rare in PV. Includes express kidnapping and virtual kidnapping when reported.
Robo a casa habitación con violencia,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Home break-ins where occupants were present and threatened or harmed.
Robo a casa habitación sin violencia,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Home break-ins when occupants absent. Peak during tourist high season when homes unoccupied.
Robo de vehículo automotor,Vehicle Theft,Robo de Vehículo,Property Crime,"Includes cars, motorcycles, and trucks. Both with and without violence."
Robo a transeúnte en vía pública con violencia,Street Robbery,Robo a Transeúnte,Property Crime,Muggings in public spaces. Higher during peak tourist season (Dec–Apr).
Robo a negocio con violencia,Business Robbery,Robo a Negocio,Property Crime,"Commercial establishment robberies. Includes restaurants, stores, and hotels."
Fraude,Fraud,Fraude,Property Crime,"Includes real estate fraud, rental scams, and digital fraud. Rising with online commerce."
Narcomenudeo,Drug Dealing,Narcomenudeo,Federal / Drug Crime,"Retail drug sales (fuero federal). Represents enforcement activity, not total prevalence."
